Name,Quantity,Supplier,Price ($),Link
ESP32-S3-WROOM 1,1,Aliexpress,4 + 3 (shipping),"https://ar.aliexpress.com/item/1005011924658910.html?spm=a2g0o.productlist.main.6.171065b8EzAQiB&algo_pvid=1c5ecffb-d5b4-495d-a728-19708034d319&algo_exp_id=1c5ecffb-d5b4-495d-a728-19708034d319-5&pdp_ext_f=%7B""order""%3A""13""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21USD%213.79%213.37%21%21%2125.75%2122.92%21%40212e520f17777212411741230e7360%2112000057045742539%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&curPageLogUid=awhmczROW8cn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011924658910%7C_p_origin_prod%3A&_gl=1*1rpnj01*_gcl_aw*R0NMLjE3NzAwMjI4MzcuQ2p3S0NBaUFzNEhNQmhCSkVpd0FDcmZOWlZsSDc3ZjFzRjMxQ1ZvaktsRTFiaXI4bkVQeHRseU1nRWNlZG5DbTBCMG56MFgxVDlKcE14b0NfTEVRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NzAwMjI4MzcuQ2p3S0NBaUFzNEhNQmhCSkVpd0FDcmZOWlZsSDc3ZjFzRjMxQ1ZvaktsRTFiaXI4bkVQeHRseU1nRWNlZG5DbTBCMG56MFgxVDlKcE14b0NfTEVRQXZEX0J3RQ..*_gcl_au*MjAwOTU4MzAwMC4xNzc3NzIxMjU4*_ga*MTY5NTA3ODUzNi4xNzU3MDY3Mjk2*_ga_VED1YSGNC7*czE3Nzc3MjEyNjEkbzM3JGcxJHQxNzc3NzIxMjcwJGo1MSRsMCRoMA.."
OV5640 Camera Module,1,Aliexpress,10 + 5 (shipping),https://ar.aliexpress.com/item/1005004471654205.html?spm=a2g0o.productlist.main.3.2aeb0uOf0uOfba&algo_pvid=89c5adb3-60d1-44cf-ba85-5f3eab1174db&algo_exp_id=89c5adb3-60d1-44cf-ba85-5f3eab1174db-2&pdp_ext_f=%7B%22order%22%3A%2272%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%219.95%219.95%21%21%219.95%219.95%21%40212a70c117745103471605831e5878%2112000029283148367%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6924c055%3Bm03_new_user%3A-29895&curPageLogUid=Nq2pZIp5P0Cb&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004471654205%7C_p_origin_prod%3A
INMP441 Mic Module,1,Aliexpress,2,https://ar.aliexpress.com/item/1005010528383499.html?spm=a2g0o.productlist.main.1.62efl6UZl6UZNz&algo_pvid=de924035-f788-4391-9023-1d5593216267&algo_exp_id=de924035-f788-4391-9023-1d5593216267-0&pdp_ext_f=%7B%22order%22%3A%22697%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.38%210.99%21%21%2129.77%216.74%21%40212e509017777215645494562e0d7e%2112000052707931640%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895%3BpisId%3A5000000204469934&curPageLogUid=CT67ScqvVhkw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010528383499%7C_p_origin_prod%3A
MAX98357A Audio Amplifier Module,1,Aliexpress,1.4,https://ar.aliexpress.com/item/1005007852632407.html?spm=a2g0o.productlist.main.5.20887b06wXv4bA&algo_pvid=2f887954-21ee-45d2-92e7-6ae8c8b4401d&algo_exp_id=2f887954-21ee-45d2-92e7-6ae8c8b4401d-4&pdp_ext_f=%7B%22order%22%3A%22931%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.47%210.99%21%21%219.96%216.70%21%402141115b17777216278683313e3896%2112000047936759753%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895%3BpisId%3A5000000204469934&curPageLogUid=9wwBxLd4Mzfu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007852632407%7C_p_origin_prod%3A
4ohms 3W Speaker,1,Aliexpress,3.89,https://ar.aliexpress.com/item/1005008626624201.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.17bd5iJR5iJRNt&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=7d6f769c-5d3f-4349-b703-772388b5e895&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A7d6f769c-5d3f-4349-b703-772388b5e895%2Ctpp_buckets%3A668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%223460%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%214.01%213.89%21%21%214.01%213.89%21%400b1bf20817777231084288536ebf6e%2112000046009599175%21rec%21AE%213284658789%21X%211%210%21n_tag%3A-29919%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895%3BpisId%3A5000000205818912&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005008626624201%7C_p_origin_prod%3A
2inch ST7789 SPI TFT LCD Display,1,Aliexpress,8,https://ar.aliexpress.com/item/1005011629478796.html?spm=a2g0o.productlist.main.10.4c33RKrsRKrsSf&algo_pvid=749db641-5ad3-4b56-b261-87348508495e&algo_exp_id=749db641-5ad3-4b56-b261-87348508495e-9&pdp_ext_f=%7B%22order%22%3A%226%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.20%218.20%21%21%2155.72%2155.72%21%402101529317777218431351188ea98b%2112000056105332137%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&curPageLogUid=5FiuliTdTThe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011629478796%7C_p_origin_prod%3A
TTP223 Capacitance Touch Sensor,1,Aliexpress,1.5,https://ar.aliexpress.com/item/1005006246380749.html?spm=a2g0o.detail.pcDetailBottomMoreOtherSeller.1.5340WDlhWDlhHh&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=6843190e-cb40-4617-99b9-d21d605dea4e&_t=gps-id%3ApcDetailBottomMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A6843190e-cb40-4617-99b9-d21d605dea4e%2Ctpp_buckets%3A668%232846%238109%231935&isseo=y&pdp_ext_f=%7B%22order%22%3A%2211169%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%211.98%210.99%21%21%2113.42%216.69%21%400b1bf20817777221328127411ebf6e%2112000056336315277%21rec%21AE%21%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895%3BpisId%3A5000000204469934&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005006246380749%7C_p_origin_prod%3A
Adafruit SD Card Module 3.3V,1,Aliexpress,4,https://ar.aliexpress.com/item/1005010717460454.html?spm=a2g0o.productlist.main.22.5605T6CqT6Cqw0&algo_pvid=2f2d699b-eda2-437a-bf12-711c543aa590&algo_exp_id=2f2d699b-eda2-437a-bf12-711c543aa590-19&pdp_ext_f=%7B%22order%22%3A%2221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.94%213.94%21%21%2126.76%2126.76%21%402102f22c17777222177084151e5476%2112000053285811799%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895&curPageLogUid=hOyt1SLb5n1c&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010717460454%7C_p_origin_prod%3A
GPIO Expander MCP23017,1,Aliexpress,2.5,https://ar.aliexpress.com/item/1005005363863079.html?spm=a2g0o.productlist.main.1.13d4f4oxf4oxU7&algo_pvid=a8e3c713-e93e-43ae-9507-368d590fdc28&algo_exp_id=a8e3c713-e93e-43ae-9507-368d590fdc28-0&pdp_ext_f=%7B%22order%22%3A%221017%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.38%210.99%21%21%212.38%210.99%21%402140f54217777226220265569e5be3%2112000032747554872%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895%3BpisId%3A5000000205015037&curPageLogUid=ytBy3Cm2Vy3c&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005363863079%7C_p_origin_prod%3A
IC Socket 28 Pins,1,Aliexpress,3.2,https://ar.aliexpress.com/item/1005011634786171.html?spm=a2g0o.productlist.main.12.7db65lGz5lGz5N&algo_pvid=ffe51875-a2a5-4473-a38e-9b56d3fb040d&algo_exp_id=ffe51875-a2a5-4473-a38e-9b56d3fb040d-11&pdp_ext_f=%7B%22order%22%3A%2294%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.15%210.99%21%21%2128.22%216.77%21%402140ec5d17777224930651578ec1fc%2112000056116512290%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895%3BpisId%3A5000000205015037&curPageLogUid=1ST1gsqiuv98&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011634786171%7C_p_origin_prod%3A
USB 16 Pin Connector,1,Aliexpress,3,https://ar.aliexpress.com/item/1005008805157100.html?spm=a2g0o.productlist.main.1.11cf0nee0neeQm&algo_pvid=93687f0e-3a24-4bba-a569-b9530010ce48&algo_exp_id=93687f0e-3a24-4bba-a569-b9530010ce48-0&pdp_ext_f=%7B%22order%22%3A%2294%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.92%210.99%21%21%212.92%210.99%21%402101062a17777226967403008ebe37%2112000046734917627%21sea%21AE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aff4fb74f%3Bm03_new_user%3A-29895%3BpisId%3A5000000205015037&curPageLogUid=dQdAqSytIJUG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008805157100%7C_p_origin_prod%3A
,,,,
Total Components with Shipping,,,,55.3
3D Case (3D Printing - Printing Legion),,,,15 (approx)
PCB Printing (JLCPCB),,,,9 (approx) printing + 5 (approx) parts
Total Project Cost,,,,85 (approx)